Dealer,Number,Suit,Number,Suit,Number,Suit,Number,Suit,UpCard_Suit,UpCard_Number,,Dealer,Number,Suit,Number,Suit,Number,Suit,Number,Suit,,Own Crib (frequencies),,,,,,Other Crib,,,
Bill,3,S,6,C,10,C,12,S,C,8,,Bill,3,S,6,C,10,C,12,S,,Card,Both Players Frequency,You throw,Bill throws,,,Card,Both Players Frequency,Bill throws,You throw
Bill,3,S,6,C,10,C,12,S,C,8,,You,1,D,13,S,1,C,3,H,,A,1335,724,611,,,A,1399,,
Bill,3,S,6,C,10,C,12,S,C,8,,Bill,13,D,6,H,5,H,11,S,,2,1394,685,709,,,2,1417,,
Bill,3,S,6,C,10,C,12,S,C,8,,You,9,C,13,H,2,S,6,C,,3,1322,701,621,,,3,1218,,
Bill,3,S,6,C,10,C,12,S,C,8,,Bill,7,H,13,D,8,C,10,S,,4,1165,535,630,,,4,1102,,
Bill,3,S,6,C,10,C,12,S,C,8,,You,12,S,13,C,3,C,10,S,,5,542,397,145,,,5,679,,
Bill,3,S,6,C,10,C,12,S,C,8,,Bill,2,C,6,C,3,C,13,H,,6,1252,678,574,,,6,1251,,
Bill,3,S,6,C,10,C,12,S,C,8,,You,2,C,12,H,2,S,9,D,,7,1543,838,705,,,7,1522,,
You,1,D,13,S,1,C,3,H,D,7,,Bill,7,D,11,C,6,D,8,S,,8,1537,782,755,,,8,1479,,
You,1,D,13,S,1,C,3,H,D,7,,You,2,D,2,S,8,H,12,D,,9,1416,708,708,,,9,1438,,
You,1,D,13,S,1,C,3,H,D,7,,Bill,8,D,2,H,3,D,4,S,,10,1422,607,815,,,10,1250,,
You,1,D,13,S,1,C,3,H,D,7,,You,7,H,13,D,2,C,13,S,,J,1388,626,762,,,J,1319,,
You,1,D,13,S,1,C,3,H,D,7,,Bill,8,D,2,C,2,H,4,S,,Q,1664,759,905,,,Q,1670,,
You,1,D,13,S,1,C,3,H,D,7,,You,8,S,1,S,4,S,11,D,,K,1804,852,952,,,K,1884,,
You,1,D,13,S,1,C,3,H,D,7,,Bill,12,D,10,C,8,H,11,S,,,,,,,,,,,
You,1,D,13,S,1,C,3,H,D,7,,You,13,H,13,D,3,C,12,D,,Own Crib (proportion),,,,,,,,,
You,1,D,13,S,1,C,3,H,D,7,,Bill,4,D,2,S,4,H,6,H,,Card,Both Players Frequency,You throw,Bill throws,Sum of throws,,,,,
You,1,D,13,S,1,C,3,H,D,7,,You,10,S,3,H,5,C,6,D,,A,1335,0.040710751,0.034356725,0.075067476,,,,,
You,1,D,13,S,1,C,3,H,D,7,,You,6,S,9,S,1,H,9,D,,2,1394,0.038517769,0.039867296,0.078385065,,,,,
Bill,13,D,6,H,5,H,11,S,H,7,,Bill,5,H,6,D,12,D,12,C,,3,1322,0.039417454,0.034919028,0.074336482,,,,,
Bill,13,D,6,H,5,H,11,S,H,7,,You,4,C,5,H,3,H,8,D,,4,1165,0.030083221,0.035425101,0.065508322,,,,,
Bill,13,D,6,H,5,H,11,S,H,7,,Bill,6,D,1,S,1,C,9,S,,5,542,0.022323437,0.008153396,0.030476833,,,,,
Bill,13,D,6,H,5,H,11,S,H,7,,You,10,D,10,S,1,C,9,S,,6,1252,0.038124157,0.032276203,0.07040036,,,,,
Bill,13,D,6,H,5,H,11,S,H,7,,Bill,7,H,1,D,5,S,13,H,,7,1543,0.047121008,0.039642375,0.086763383,,,,,
Bill,13,D,6,H,5,H,11,S,H,7,,You,9,H,6,D,7,C,11,H,,8,1537,0.04397211,0.042453891,0.086426001,,,,,
Bill,13,D,6,H,5,H,11,S,H,7,,Bill,12,C,6,S,11,D,11,C,,9,1416,0.039811066,0.039811066,0.079622132,,,,,
Bill,13,D,6,H,5,H,11,S,H,7,,You,9,H,5,S,8,C,11,D,,10,1422,0.034131804,0.04582771,0.079959514,,,,,
Bill,13,D,6,H,5,H,11,S,H,7,,Bill,10,D,9,H,7,D,8,S,,J,1388,0.03520018,0.042847503,0.078047683,,,,,
You,9,C,13,H,2,S,6,C,D,2,,You,12,H,12,C,2,D,8,C,,Q,1664,0.042678812,0.050888439,0.093567251,,,,,
You,9,C,13,H,2,S,6,C,D,2,,Bill,4,D,7,C,7,H,11,D,,K,1804,0.047908232,0.053531264,0.101439496,,,,,
You,9,C,13,H,2,S,6,C,D,2,,You,12,C,13,H,3,S,7,H,,Total,17784,0.5,0.5,1,,,,,
You,9,C,13,H,2,S,6,C,D,2,,Bill,13,H,5,C,6,H,6,C,,,,,,,,,,,
You,9,C,13,H,2,S,6,C,D,2,,You,3,C,4,H,4,S,7,S,,,,,,,,,,,
You,9,C,13,H,2,S,6,C,D,2,,Bill,3,C,6,S,4,D,8,C,,,,,,,,,,,
You,9,C,13,H,2,S,6,C,D,2,,You,7,C,8,H,1,D,13,S,,,,,,,,,,,
You,9,C,13,H,2,S,6,C,D,2,,Bill,3,C,4,D,6,C,7,S,,,,,,,,,,,
You,9,C,13,H,2,S,6,C,D,2,,Bill,2,C,4,S,10,H,10,C,,,,,,,,,,,
You,9,C,13,H,2,S,6,C,D,2,,You,2,C,3,C,8,D,10,S,,,,,,,,,,,
Bill,7,H,13,D,8,C,10,S,C,13,,Bill,6,C,11,D,5,C,13,D,,,,,,,,,,,
Bill,7,H,13,D,8,C,10,S,C,13,,You,1,C,3,H,8,S,11,H,,,,,,,,,,,
Bill,7,H,13,D,8,C,10,S,C,13,,Bill,7,D,12,D,2,S,2,C,,,,,,,,,,,
Bill,7,H,13,D,8,C,10,S,C,13,,You,12,H,12,C,1,D,6,C,,,,,,,,,,,
Bill,7,H,13,D,8,C,10,S,C,13,,Bill,2,D,4,S,4,D,4,C,,,,,,,,,,,
Bill,7,H,13,D,8,C,10,S,C,13,,You,2,C,7,C,9,C,12,S,,,,,,,,,,,
Bill,7,H,13,D,8,C,10,S,C,13,,Bill,10,S,2,D,5,D,5,C,,,,,,,,,,,
Bill,7,H,13,D,8,C,10,S,C,13,,You,6,H,7,S,4,C,12,D,,,,,,,,,,,
You,12,S,13,C,3,C,10,S,D,9,,Bill,2,S,12,C,7,S,8,S,,,,,,,,,,,
You,12,S,13,C,3,C,10,S,D,9,,You,10,D,13,S,8,C,10,C,,,,,,,,,,,
You,12,S,13,C,3,C,10,S,D,9,,Bill,10,C,12,D,1,C,13,S,,,,,,,,,,,
You,12,S,13,C,3,C,10,S,D,9,,You,2,C,7,H,4,D,6,D,,,,,,,,,,,
You,12,S,13,C,3,C,10,S,D,9,,Bill,2,D,11,D,3,H,7,H,,,,,,,,,,,
You,12,S,13,C,3,C,10,S,D,9,,You,4,H,4,C,6,H,12,D,,,,,,,,,,,
You,12,S,13,C,3,C,10,S,D,9,,Bill,2,C,13,S,3,H,4,H,,,,,,,,,,,
You,12,S,13,C,3,C,10,S,D,9,,You,10,S,11,S,7,S,9,S,,,,,,,,,,,
Bill,2,C,6,C,3,C,13,H,H,6,,Bill,6,D,3,H,2,D,9,D,,,,,,,,,,,
Bill,2,C,6,C,3,C,13,H,H,6,,You,3,S,6,C,10,H,12,S,,,,,,,,,,,
Bill,2,C,6,C,3,C,13,H,H,6,,You,10,D,5,S,11,D,13,H,,,,,,,,,,,
Bill,2,C,6,C,3,C,13,H,H,6,,Bill,6,C,1,S,2,D,11,C,,,,,,,,,,,
Bill,2,C,6,C,3,C,13,H,H,6,,You,4,D,8,C,4,S,11,D,,,,,,,,,,,
Bill,2,C,6,C,3,C,13,H,H,6,,Bill,2,D,13,D,3,H,6,D,,,,,,,,,,,
Bill,2,C,6,C,3,C,13,H,H,6,,You,9,S,6,S,1,H,2,H,,,,,,,,,,,
Bill,2,C,6,C,3,C,13,H,H,6,,Bill,10,D,13,S,4,H,8,D,,,,,,,,,,,
You,2,C,12,H,2,S,9,D,H,3,,You,2,C,12,S,1,H,10,H,,,,,,,,,,,
You,2,C,12,H,2,S,9,D,H,3,,Bill,2,C,1,S,5,H,13,H,,,,,,,,,,,
You,2,C,12,H,2,S,9,D,H,3,,You,8,D,6,S,2,D,10,C,,,,,,,,,,,
You,2,C,12,H,2,S,9,D,H,3,,You,3,S,6,D,2,H,8,D,,,,,,,,,,,
You,2,C,12,H,2,S,9,D,H,3,,Bill,1,H,9,D,9,C,12,H,,,,,,,,,,,
You,2,C,12,H,2,S,9,D,H,3,,You,2,C,8,D,2,H,9,D,,,,,,,,,,,
You,2,C,12,H,2,S,9,D,H,3,,Bill,2,S,4,C,4,D,10,H,,,,,,,,,,,
You,2,C,12,H,2,S,9,D,H,3,,You,6,S,7,C,12,D,13,C,,,,,,,,,,,
You,2,C,12,H,2,S,9,D,H,3,,Bill,2,S,6,H,4,C,10,C,,,,,,,,,,,
Bill,7,D,11,C,6,D,8,S,S,12,,You,13,H,13,S,7,C,12,H,,,,,,,,,,,
Bill,7,D,11,C,6,D,8,S,S,12,,Bill,10,C,11,S,7,S,12,S,,,,,,,,,,,
Bill,7,D,11,C,6,D,8,S,S,12,,You,13,D,8,H,2,C,11,S,,,,,,,,,,,
Bill,7,D,11,C,6,D,8,S,S,12,,Bill,9,D,12,H,3,S,7,D,,,,,,,,,,,
Bill,7,D,11,C,6,D,8,S,S,12,,You,12,H,13,S,2,H,7,S,,,,,,,,,,,
Bill,7,D,11,C,6,D,8,S,S,12,,Bill,4,H,13,C,10,S,13,S,,,,,,,,,,,
Bill,7,D,11,C,6,D,8,S,S,12,,You,8,S,10,S,7,H,10,C,,,,,,,,,,,
Bill,7,D,11,C,6,D,8,S,S,12,,Bill,4,S,13,S,5,H,12,S,,,,,,,,,,,
Bill,7,D,11,C,6,D,8,S,S,12,,You,2,S,1,C,8,D,11,H,,,,,,,,,,,
Bill,7,D,11,C,6,D,8,S,S,12,,Bill,10,S,13,S,4,H,4,C,,,,,,,,,,,
Bill,7,D,11,C,6,D,8,S,S,12,,You,13,H,13,C,2,C,3,D,,,,,,,,,,,
Bill,7,D,11,C,6,D,8,S,S,12,,Bill,2,C,5,D,11,D,12,H,,,,,,,,,,,
You,2,D,2,S,8,H,12,D,H,12,,You,4,C,6,S,2,S,10,H,,,,,,,,,,,
You,2,D,2,S,8,H,12,D,H,12,,Bill,9,C,2,S,3,S,11,H,,,,,,,,,,,
