Participant,FirstCardPlayed,Card_1,Card_2,Card_3,Card_4,Card_5,Card_6,Card_7,Card_8,Card_9,Card_10,Card_11,Card_12,Card_13,ScoreOnNextPlay
0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,10,0,0,0,0,0,0,0,0,0,1,0,0,0,2
13,8,0,0,0,0,0,0,0,1,0,0,0,0,0,2
18,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,9,0,0,0,0,0,0,0,0,1,0,0,0,0,2
25,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46,11,0,0,0,0,0,0,0,0,0,0,1,0,0,2
50,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,11,0,0,0,0,0,0,0,0,0,0,1,0,0,2
58,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
62,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
69,6,0,0,0,0,0,1,0,0,0,0,0,0,0,3
71,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
76,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
81,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1
83,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
89,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1
91,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
96,13,0,0,0,0,0,0,0,0,0,0,0,0,1,2
99,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
103,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
107,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
112,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
115,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
116,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
124,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
131,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
134,8,0,0,0,0,0,0,0,1,0,0,0,0,0,2
139,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
143,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
147,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
151,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
155,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
159,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
165,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
170,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
171,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
180,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
181,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
186,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
192,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
193,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
199,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
202,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
206,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
210,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
216,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
220,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
227,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
