Card,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,CribScore
10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,4
13,0,0,0,0,0,0,0,0,0,0,0,0,1,4
5,0,0,0,0,1,0,0,0,0,0,0,0,0,7
11,0,0,0,0,0,0,0,0,0,0,1,0,0,7
9,0,0,0,0,0,0,0,0,1,0,0,0,0,4
13,0,0,0,0,0,0,0,0,0,0,0,0,1,4
8,0,0,0,0,0,0,0,1,0,0,0,0,0,4
10,0,0,0,0,0,0,0,0,0,1,0,0,0,4
12,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,0,0,1,0,0,0,0,0,0,0,0,0,0,6
13,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2,0,1,0,0,0,0,0,0,0,0,0,0,0,6
12,0,0,0,0,0,0,0,0,0,0,0,1,0,6
6,0,0,0,0,0,1,0,0,0,0,0,0,0,5
8,0,0,0,0,0,0,0,1,0,0,0,0,0,5
2,0,1,0,0,0,0,0,0,0,0,0,0,0,4
2,0,1,0,0,0,0,0,0,0,0,0,0,0,4
3,0,0,1,0,0,0,0,0,0,0,0,0,0,7
4,0,0,0,1,0,0,0,0,0,0,0,0,0,7
7,0,0,0,0,0,0,1,0,0,0,0,0,0,6
13,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2,0,1,0,0,0,0,0,0,0,0,0,0,0,4
4,0,0,0,1,0,0,0,0,0,0,0,0,0,4
8,0,0,0,0,0,0,0,1,0,0,0,0,0,6
1,1,0,0,0,0,0,0,0,0,0,0,0,0,6
8,0,0,0,0,0,0,0,1,0,0,0,0,0,3
11,0,0,0,0,0,0,0,0,0,0,1,0,0,3
13,0,0,0,0,0,0,0,0,0,0,0,0,1,4
13,0,0,0,0,0,0,0,0,0,0,0,0,1,4
4,0,0,0,1,0,0,0,0,0,0,0,0,0,2
6,0,0,0,0,0,1,0,0,0,0,0,0,0,2
10,0,0,0,0,0,0,0,0,0,1,0,0,0,4
3,0,0,1,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,0,0,1,0,0,0,0,0,0,0,10
9,0,0,0,0,0,0,0,0,1,0,0,0,0,10
12,0,0,0,0,0,0,0,0,0,0,0,1,0,8
12,0,0,0,0,0,0,0,0,0,0,0,1,0,8
4,0,0,0,1,0,0,0,0,0,0,0,0,0,10
5,0,0,0,0,1,0,0,0,0,0,0,0,0,10
1,1,0,0,0,0,0,0,0,0,0,0,0,0,4
9,0,0,0,0,0,0,0,0,1,0,0,0,0,4
10,0,0,0,0,0,0,0,0,0,1,0,0,0,2
10,0,0,0,0,0,0,0,0,0,1,0,0,0,2
5,0,0,0,0,1,0,0,0,0,0,0,0,0,4
13,0,0,0,0,0,0,0,0,0,0,0,0,1,4
9,0,0,0,0,0,0,0,0,1,0,0,0,0,4
6,0,0,0,0,0,1,0,0,0,0,0,0,0,4
11,0,0,0,0,0,0,0,0,0,0,1,0,0,8
11,0,0,0,0,0,0,0,0,0,0,1,0,0,8
9,0,0,0,0,0,0,0,0,1,0,0,0,0,4
5,0,0,0,0,1,0,0,0,0,0,0,0,0,4
7,0,0,0,0,0,0,1,0,0,0,0,0,0,6
8,0,0,0,0,0,0,0,1,0,0,0,0,0,6
12,0,0,0,0,0,0,0,0,0,0,0,1,0,6
12,0,0,0,0,0,0,0,0,0,0,0,1,0,6
7,0,0,0,0,0,0,1,0,0,0,0,0,0,6
11,0,0,0,0,0,0,0,0,0,0,1,0,0,6
12,0,0,0,0,0,0,0,0,0,0,0,1,0,6
13,0,0,0,0,0,0,0,0,0,0,0,0,1,6
6,0,0,0,0,0,1,0,0,0,0,0,0,0,10
6,0,0,0,0,0,1,0,0,0,0,0,0,0,10
3,0,0,1,0,0,0,0,0,0,0,0,0,0,14
4,0,0,0,1,0,0,0,0,0,0,0,0,0,14
4,0,0,0,1,0,0,0,0,0,0,0,0,0,6
8,0,0,0,0,0,0,0,1,0,0,0,0,0,6
7,0,0,0,0,0,0,1,0,0,0,0,0,0,7
8,0,0,0,0,0,0,0,1,0,0,0,0,0,7
6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,1,0,0,0,4
10,0,0,0,0,0,0,0,0,0,1,0,0,0,4
2,0,1,0,0,0,0,0,0,0,0,0,0,0,6
3,0,0,1,0,0,0,0,0,0,0,0,0,0,6
5,0,0,0,0,1,0,0,0,0,0,0,0,0,9
13,0,0,0,0,0,0,0,0,0,0,0,0,1,9
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0,0,0,0,0,0,4
2,0,1,0,0,0,0,0,0,0,0,0,0,0,4
12,0,0,0,0,0,0,0,0,0,0,0,1,0,2
12,0,0,0,0,0,0,0,0,0,0,0,1,0,2
4,0,0,0,1,0,0,0,0,0,0,0,0,0,6
4,0,0,0,1,0,0,0,0,0,0,0,0,0,6
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,0,0,0,0,1,0,0,0,0,0,0,0,0,6
5,0,0,0,0,1,0,0,0,0,0,0,0,0,6
6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,0,0,0,0,0,0,1,0,0,0,0,0,0,4
8,0,0,0,0,0,0,0,1,0,0,0,0,0,4
10,0,0,0,0,0,0,0,0,0,1,0,0,0,2
13,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1,1,0,0,0,0,0,0,0,0,0,0,0,0,6
13,0,0,0,0,0,0,0,0,0,0,0,0,1,6
